7203 東証1部 トヨタ自動車(株)（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","6180","6360","6161","6346","10011900","6346"
"2019-01-07","6495","6622","6478","6546","7677200","6546"
"2019-01-08","6610","6687","6584","6626","7979300","6626"
"2019-01-09","6712","6715","6629","6677","5494400","6677"
"2019-01-10","6630","6714","6627","6704","6340400","6704"
"2019-01-11","6730","6836","6729","6821","7895300","6821"
"2019-01-15","6800","6905","6768","6892","7076200","6892"
"2019-01-16","6850","6862","6814","6844","6633700","6844"
"2019-01-17","6820","6862","6765","6790","5247600","6790"
"2019-01-18","6820","6842","6797","6798","6627200","6798"
"2019-01-21","6837","6881","6807","6817","5663600","6817"
"2019-01-22","6820","6861","6769","6784","5189700","6784"
"2019-01-23","6806","6829","6720","6720","6003000","6720"
"2019-01-24","6713","6759","6676","6725","5393300","6725"
"2019-01-25","6721","6792","6704","6764","5513400","6764"
"2019-01-28","6740","6768","6689","6689","4862000","6689"
"2019-01-29","6614","6676","6606","6676","4638100","6676"
"2019-01-30","6677","6680","6613","6639","4934700","6639"
"2019-01-31","6712","6730","6654","6675","4447400","6675"
"2019-02-01","6642","6691","6623","6655","3808700","6655"
"2019-02-04","6680","6738","6677","6726","4036800","6726"
"2019-02-05","6785","6792","6738","6752","3804200","6752"
"2019-02-06","6752","6805","6650","6703","8099200","6703"
"2019-02-07","6622","6661","6501","6575","6973300","6575"
"2019-02-08","6500","6506","6430","6449","6999700","6449"
"2019-02-12","6478","6614","6468","6605","6192200","6605"
"2019-02-13","6650","6668","6602","6625","4854400","6625"
"2019-02-14","6659","6666","6602","6618","4453500","6618"
"2019-02-15","6630","6637","6583","6605","4058500","6605"
"2019-02-18","6666","6679","6639","6655","4333600","6655"
"2019-02-19","6621","6700","6621","6697","3724400","6697"
"2019-02-20","6687","6793","6686","6790","5212700","6790"
"2019-02-21","6800","6808","6731","6731","5712800","6731"
"2019-02-22","6671","6721","6669","6720","3759400","6720"
"2019-02-25","6740","6775","6719","6774","3953400","6774"
"2019-02-26","6800","6805","6767","6795","4752700","6795"
"2019-02-27","6795","6805","6780","6780","4919300","6780"
"2019-02-28","6760","6764","6692","6697","5355000","6697"
"2019-03-01","6735","6744","6688","6688","4694000","6688"
"2019-03-04","6745","6745","6615","6628","5040000","6628"
"2019-03-05","6612","6626","6573","6608","4286200","6608"
"2019-03-06","6605","6616","6570","6594","4347900","6594"
"2019-03-07","6595","6632","6561","6584","4377700","6584"
"2019-03-08","6523","6591","6519","6531","5716800","6531"
"2019-03-11","6534","6602","6526","6578","3281100","6578"
"2019-03-12","6633","6661","6612","6618","4681200","6618"
"2019-03-13","6625","6649","6535","6585","4711900","6585"
"2019-03-14","6607","6649","6542","6543","5021700","6543"
"2019-03-15","6593","6655","6579","6615","7784700","6615"
"2019-03-18","6632","6651","6608","6650","3519000","6650"
"2019-03-19","6680","6701","6650","6663","3532800","6663"
"2019-03-20","6695","6726","6678","6721","3940800","6721"
"2019-03-22","6722","6761","6695","6753","4803100","6753"
"2019-03-25","6644","6645","6591","6610","5236600","6610"
"2019-03-26","6601","6760","6590","6760","8255600","6760"
"2019-03-27","6669","6686","6577","6623","6041800","6623"
"2019-03-28","6597","6603","6504","6514","5218600","6514"
"2019-03-29","6564","6576","6487","6487","4547600","6487"
"2019-04-01","6571","6685","6557","6646","6259200","6646"
"2019-04-02","6699","6714","6660","6689","4510600","6689"
"2019-04-03","6706","6742","6666","6728","4425800","6728"
"2019-04-04","6750","6788","6739","6774","3759700","6774"
"2019-04-05","6779","6840","6768","6840","4816800","6840"
"2019-04-08","6850","6851","6763","6788","3746500","6788"
"2019-04-09","6800","6835","6784","6831","3156700","6831"
"2019-04-10","6791","6810","6767","6795","2920100","6795"
"2019-04-11","6793","6803","6741","6741","3806600","6741"
"2019-04-12","6785","6797","6759","6789","3449700","6789"
"2019-04-15","6790","6848","6779","6831","4773000","6831"
"2019-04-16","6825","6856","6807","6815","3462100","6815"
"2019-04-17","6887","6954","6879","6953","5542900","6953"
"2019-04-18","6998","7080","6953","6976","6329000","6976"
"2019-04-19","6986","7000","6920","6958","2927800","6958"
"2019-04-22","6979","6989","6928","6963","2172000","6963"
"2019-04-23","6990","6995","6936","6993","3491000","6993"
"2019-04-24","6995","6995","6874","6891","4377200","6891"
"2019-04-25","6900","6940","6885","6901","3363200","6901"
"2019-04-26","6849","6920","6827","6905","3999400","6905"
"2019-05-07","6855","6874","6776","6824","5805800","6824"
"2019-05-08","6724","6900","6685","6759","11080800","6759"
"2019-05-09","6700","6703","6545","6545","8512100","6545"
"2019-05-10","6572","6617","6502","6537","6478200","6537"
"2019-05-13","6538","6584","6512","6545","3862100","6545"
"2019-05-14","6480","6529","6433","6529","4573500","6529"
"2019-05-15","6560","6570","6489","6570","4423100","6570"
"2019-05-16","6620","6620","6476","6502","5015400","6502"
"2019-05-17","6547","6558","6472","6502","4220900","6502"
"2019-05-20","6518","6545","6479","6527","2896900","6527"
"2019-05-21","6526","6530","6446","6494","4381900","6494"
"2019-05-22","6519","6530","6472","6491","3289900","6491"
"2019-05-23","6486","6502","6458","6499","3228300","6499"
"2019-05-24","6450","6502","6429","6502","3267500","6502"
