7261 東証1部 マツダ(株)（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","1530","1541.5","1529.5","1537.5","6110100","1537.5"
"2018-01-05","1551","1585.5","1551","1562.5","8012900","1562.5"
"2018-01-09","1579.5","1581","1559","1573","5635000","1573"
"2018-01-10","1582","1602.5","1581.5","1584","6586600","1584"
"2018-01-11","1570","1583.5","1566.5","1583.5","5540200","1583.5"
"2018-01-12","1586.5","1590","1573","1579.5","3573000","1579.5"
"2018-01-15","1591","1598.5","1571.5","1574.5","3437500","1574.5"
"2018-01-16","1579.5","1592","1579","1589","4046400","1589"
"2018-01-17","1576","1588","1570","1586","4309200","1586"
"2018-01-18","1595","1595.5","1568.5","1571.5","4888400","1571.5"
"2018-01-19","1578","1582","1558","1569.5","3616500","1569.5"
"2018-01-22","1568","1583","1567.5","1582","4138100","1582"
"2018-01-23","1590","1598","1580","1586.5","3782500","1586.5"
"2018-01-24","1587","1612","1583.5","1596","6383500","1596"
"2018-01-25","1580","1589","1572","1575.5","5080400","1575.5"
"2018-01-26","1578","1585","1558","1560","5366400","1560"
"2018-01-29","1561.5","1577.5","1556","1566","3305000","1566"
"2018-01-30","1557","1564.5","1544","1553.5","4989300","1553.5"
"2018-01-31","1545","1550.5","1529.5","1529.5","5135400","1529.5"
"2018-02-01","1534.5","1546","1518.5","1535.5","4651000","1535.5"
"2018-02-02","1525","1560.5","1525","1549","5824600","1549"
"2018-02-05","1522","1559.5","1514.5","1540.5","6102300","1540.5"
"2018-02-06","1487","1505.5","1461","1505","11536300","1505"
"2018-02-07","1544","1560","1512","1514.5","7788700","1514.5"
"2018-02-08","1499","1515","1478.5","1513","10352900","1513"
"2018-02-09","1465","1517.5","1456","1512","9452400","1512"
"2018-02-13","1517.5","1546","1509.5","1515","7750900","1515"
"2018-02-14","1515.5","1520.5","1481.5","1487.5","7002700","1487.5"
"2018-02-15","1499","1508","1469","1476","5969700","1476"
"2018-02-16","1484.5","1489","1466.5","1470.5","7590300","1470.5"
"2018-02-19","1481","1506","1478.5","1505","6649000","1505"
"2018-02-20","1496","1507.5","1487","1501","4120900","1501"
"2018-02-21","1496","1508","1487","1498.5","4265100","1498.5"
"2018-02-22","1483","1484.5","1459","1471","6612200","1471"
"2018-02-23","1471","1498","1468.5","1486.5","6211600","1486.5"
"2018-02-26","1490.5","1521.5","1488.5","1504.5","6519500","1504.5"
"2018-02-27","1510","1532","1509.5","1517.5","4867700","1517.5"
"2018-02-28","1511","1523","1496","1496.5","4509700","1496.5"
"2018-03-01","1480.5","1481","1464","1474.5","7117400","1474.5"
"2018-03-02","1455","1456.5","1424.5","1431.5","8836000","1431.5"
"2018-03-05","1420","1422.5","1393.5","1414.5","6596100","1414.5"
"2018-03-06","1431.5","1443.5","1413.5","1415","4567400","1415"
"2018-03-07","1405","1409","1382.5","1392","8488600","1392"
"2018-03-08","1392","1397","1384","1388.5","4908600","1388.5"
"2018-03-09","1397","1408","1373.5","1377.5","7397500","1377.5"
"2018-03-12","1390.5","1406.5","1387","1397.5","4973200","1397.5"
"2018-03-13","1386.5","1403","1380.5","1399","3932400","1399"
"2018-03-14","1390","1405.5","1388","1403","3902800","1403"
"2018-03-15","1404.5","1417.5","1398","1412.5","4437400","1412.5"
"2018-03-16","1414","1421","1407","1414.5","3574900","1414.5"
"2018-03-19","1412","1415.5","1398.5","1406","3002100","1406"
"2018-03-20","1400","1420.5","1398.5","1420.5","4090000","1420.5"
"2018-03-22","1420","1435","1418","1431","4970700","1431"
"2018-03-23","1401","1401.5","1371","1386","8406500","1386"
"2018-03-26","1371","1386","1360","1386","4411400","1386"
"2018-03-27","1392.5","1416","1391.5","1409","6120200","1409"
"2018-03-28","1380.5","1399","1377","1399","4615900","1399"
"2018-03-29","1414.5","1425.5","1394.5","1409.5","5314700","1409.5"
"2018-03-30","1414.5","1419.5","1401.5","1406.5","3158700","1406.5"
"2018-04-02","1401","1422","1400.5","1405.5","3423600","1405.5"
"2018-04-03","1389.5","1403","1384.5","1398.5","3720900","1398.5"
"2018-04-04","1408.5","1425","1405","1417.5","6296300","1417.5"
"2018-04-05","1399.5","1408.5","1382","1404","6865800","1404"
"2018-04-06","1413.5","1436","1412","1420","6554700","1420"
"2018-04-09","1418.5","1433.5","1414","1429","4422000","1429"
"2018-04-10","1416.5","1447.5","1412.5","1440.5","5209100","1440.5"
"2018-04-11","1459.5","1472","1455.5","1458","4883500","1458"
"2018-04-12","1450","1452.5","1439.5","1446","3187000","1446"
"2018-04-13","1450","1464.5","1450","1458.5","3263100","1458.5"
"2018-04-16","1464","1468","1452","1460","2422900","1460"
"2018-04-17","1462.5","1468","1456.5","1459","2942100","1459"
"2018-04-18","1456","1470","1453","1466.5","3276800","1466.5"
"2018-04-19","1470","1484.5","1469","1475.5","3793400","1475.5"
"2018-04-20","1480","1483","1465","1472","3334100","1472"
"2018-04-23","1475","1484.5","1472.5","1478","2288400","1478"
"2018-04-24","1488","1499","1486.5","1498","4475800","1498"
