7267 東証1部 ホンダ（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","3925","3986","3906","3986","4962300","3986"
"2018-01-05","4000","4054","3990","4021","4765200","4021"
"2018-01-09","4042","4057","3997","4010","3447000","4010"
"2018-01-10","4035","4151","4028","4102","4692400","4102"
"2018-01-11","4035","4055","3998","4026","4031200","4026"
"2018-01-12","4005","4010","3966","3968","5005900","3968"
"2018-01-15","4000","4006","3971","3981","2975900","3981"
"2018-01-16","3983","3998","3965","3989","2983200","3989"
"2018-01-17","3989","4019","3977","4019","3653300","4019"
"2018-01-18","4037","4043","3971","3977","4732000","3977"
"2018-01-19","3993","4017","3981","4003","2991300","4003"
"2018-01-22","4000","4000","3960","3980","2830500","3980"
"2018-01-23","3993","4066","3991","4052","3664800","4052"
"2018-01-24","4025","4031","3993","3994","2881200","3994"
"2018-01-25","3943","3953","3925","3942","4274900","3942"
"2018-01-26","3950","3968","3931","3933","3316700","3933"
"2018-01-29","3922","3976","3899","3947","3107900","3947"
"2018-01-30","3958","3985","3916","3925","3991000","3925"
"2018-01-31","3890","3890","3817","3826","6285000","3826"
"2018-02-01","3850","3871","3844","3859","4709900","3859"
"2018-02-02","3858","3900","3840","3890","5681300","3890"
"2018-02-05","3983","4030","3946","3971","9843400","3971"
"2018-02-06","3831","3831","3723","3810","10651900","3810"
"2018-02-07","3933","3947","3839","3840","9005600","3840"
"2018-02-08","3884","3927","3849","3873","7623900","3873"
"2018-02-09","3751","3796","3740","3795","8358200","3795"
"2018-02-13","3798","3818","3724","3730","7767700","3730"
"2018-02-14","3735","3755","3653","3687","6625700","3687"
"2018-02-15","3732","3753","3703","3734","4167700","3734"
"2018-02-16","3779","3825","3766","3774","5561400","3774"
"2018-02-19","3798","3851","3791","3851","4143000","3851"
"2018-02-20","3827","3832","3764","3785","3755100","3785"
"2018-02-21","3840","3856","3818","3847","5442300","3847"
"2018-02-22","3808","3808","3762","3807","4704200","3807"
"2018-02-23","3834","3849","3816","3845","4220700","3845"
"2018-02-26","3856","3917","3846","3893","3611400","3893"
"2018-02-27","3922","3992","3921","3972","5066500","3972"
"2018-02-28","3944","3956","3884","3885","4815300","3885"
"2018-03-01","3852","3861","3822","3831","4596400","3831"
"2018-03-02","3761","3761","3676","3686","6624300","3686"
"2018-03-05","3647","3658","3595","3609","4804700","3609"
"2018-03-06","3700","3723","3656","3666","4044100","3666"
"2018-03-07","3649","3692","3628","3634","4809400","3634"
"2018-03-08","3681","3693","3645","3666","4111200","3666"
"2018-03-09","3677","3700","3612","3623","8181600","3623"
"2018-03-12","3701","3742","3693","3739","4093000","3739"
"2018-03-13","3687","3710","3659","3708","3605000","3708"
"2018-03-14","3686","3712","3679","3687","3255900","3687"
"2018-03-15","3662","3698","3654","3694","3006800","3694"
"2018-03-16","3696","3699","3665","3678","6305200","3678"
"2018-03-19","3658","3674","3635","3639","2937100","3639"
"2018-03-20","3643","3655","3621","3642","3382100","3642"
"2018-03-22","3661","3672","3621","3664","5481900","3664"
"2018-03-23","3542","3552","3460","3471","8586300","3471"
"2018-03-26","3434","3487","3427","3487","6594400","3487"
"2018-03-27","3535","3616","3507","3616","6207900","3616"
"2018-03-28","3571","3656","3539","3654","7300200","3654"
"2018-03-29","3695","3700","3593","3641","5653800","3641"
"2018-03-30","3684","3686","3636","3660","3889900","3660"
"2018-04-02","3660","3686","3642","3642","2466700","3642"
"2018-04-03","3597","3629","3581","3615","3601400","3615"
"2018-04-04","3637","3679","3623","3662","4089300","3662"
