7270 東証1部 (株)ＳＵＢＡＲＵ（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","4900","5006","4893","4991","5826000","4991"
"2017-01-05","5000","5016","4938","4966","3839500","4966"
"2017-01-06","4877","4955","4870","4934","3094000","4934"
"2017-01-10","4914","4927","4843","4858","3566200","4858"
"2017-01-11","4888","4908","4835","4874","3508600","4874"
"2017-01-12","4835","4865","4780","4803","2927100","4803"
"2017-01-13","4832","4841","4798","4838","2173000","4838"
"2017-01-16","4815","4820","4754","4779","2032000","4779"
"2017-01-17","4765","4774","4669","4670","2796100","4670"
"2017-01-18","4568","4763","4562","4755","4222400","4755"
"2017-01-19","4865","4876","4791","4825","3217700","4825"
"2017-01-20","4825","4856","4804","4817","3104600","4817"
"2017-01-23","4748","4784","4720","4750","2868800","4750"
"2017-01-24","4680","4713","4656","4679","2735100","4679"
"2017-01-25","4739","4777","4681","4730","2575400","4730"
"2017-01-26","4787","4796","4739","4757","2847500","4757"
"2017-01-27","4810","4823","4756","4818","3641500","4818"
"2017-01-30","4750","4777","4718","4730","2739900","4730"
"2017-01-31","4600","4614","4540","4540","5268100","4540"
"2017-02-01","4450","4517","4428","4470","5467000","4470"
"2017-02-02","4452","4457","4354","4370","4784100","4370"
"2017-02-03","4352","4403","4308","4348","5477100","4348"
"2017-02-06","4356","4379","4297","4333","4086400","4333"
"2017-02-07","4297","4345","4273","4329","3511400","4329"
"2017-02-08","4399","4416","4323","4392","5071000","4392"
"2017-02-09","4340","4346","4204","4229","6314000","4229"
"2017-02-10","4355","4433","4322","4409","5948900","4409"
"2017-02-13","4549","4549","4438","4454","4614600","4454"
"2017-02-14","4454","4464","4350","4355","4442900","4355"
"2017-02-15","4400","4410","4362","4383","2644100","4383"
"2017-02-16","4365","4375","4302","4344","4080600","4344"
"2017-02-17","4300","4301","4261","4275","3244000","4275"
"2017-02-20","4253","4291","4224","4282","2005500","4282"
"2017-02-21","4267","4329","4262","4322","2046600","4322"
"2017-02-22","4350","4355","4267","4290","3125100","4290"
"2017-02-23","4300","4302","4253","4292","1880000","4292"
"2017-02-24","4264","4295","4251","4276","2068900","4276"
"2017-02-27","4249","4263","4218","4229","2506400","4229"
"2017-02-28","4253","4292","4207","4207","3152000","4207"
"2017-03-01","4247","4356","4226","4345","4451800","4345"
"2017-03-02","4485","4495","4386","4391","5411300","4391"
"2017-03-03","4420","4429","4387","4408","3059700","4408"
"2017-03-06","4400","4428","4388","4409","2167300","4409"
"2017-03-07","4410","4420","4367","4373","2434500","4373"
"2017-03-08","4335","4397","4330","4397","2729600","4397"
"2017-03-09","4432","4433","4344","4355","4426000","4355"
"2017-03-10","4380","4420","4375","4415","4150300","4415"
"2017-03-13","4485","4485","4437","4453","3527500","4453"
"2017-03-14","4453","4458","4431","4454","2097500","4454"
"2017-03-15","4421","4455","4401","4435","2163400","4435"
"2017-03-16","4420","4455","4398","4430","2473700","4430"
"2017-03-17","4378","4379","4324","4349","3996400","4349"
"2017-03-21","4308","4324","4282","4312","3033700","4312"
"2017-03-22","4183","4188","4120","4120","6084300","4120"
"2017-03-23","4087","4167","4087","4156","3637700","4156"
"2017-03-24","4129","4190","4121","4181","3585400","4181"
"2017-03-27","4146","4160","4105","4114","3491200","4114"
"2017-03-28","4134","4209","4129","4205","4524000","4205"
"2017-03-29","4170","4188","4125","4157","3093300","4157"
"2017-03-30","4125","4162","4107","4140","3295600","4140"
"2017-03-31","4171","4172","4083","4083","3161400","4083"
"2017-04-03","4105","4115","4052","4078","2676100","4078"
"2017-04-04","4055","4055","3982","4013","3874300","4013"
"2017-04-05","4035","4035","3924","3967","4579300","3967"
"2017-04-06","3926","3942","3855","3864","5528700","3864"
"2017-04-07","3913","3990","3887","3941","6482100","3941"
"2017-04-10","4010","4074","4008","4026","5134700","4026"
"2017-04-11","3995","4083","3991","4080","4315300","4080"
"2017-04-12","4010","4013","3912","3924","4969500","3924"
"2017-04-13","3881","3927","3843","3914","4166900","3914"
"2017-04-14","3966","3968","3883","3921","3233500","3921"
"2017-04-17","3881","3910","3857","3903","2077100","3903"
"2017-04-18","3973","4006","3937","3945","2854300","3945"
"2017-04-19","3943","3968","3897","3919","3671100","3919"
